PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Josh Richardson,53,30.5,.493,18.5,8.7,16.5,2.4,9.2,5.8,10.71,5.1,0.2
Justin Holiday,82,20.0,.549,13.8,8.9,16.5,1.8,13.1,7.4,12.71,54.0,1.8
David Lee,79,18.7,.613,18.2,12.2,16.4,11.7,21.9,16.9,18.48,154.0,5.1
Jerian Grant,63,16.3,.555,24.3,8.8,16.4,1.8,9.9,5.8,13.21,33.9,1.1
Taurean Prince,59,16.6,.513,12.4,13.8,16.4,2.8,14.6,8.8,9.88,-9.1,-0.3
Brandon Ingram,79,28.8,.474,15.6,10.9,16.4,2.8,12.7,7.6,8.56,-66.1,-2.2
T.J. McConnell,81,26.3,.504,42.9,12.8,16.3,2.0,11.0,6.5,13.73,86.8,2.9
Raymond Felton,80,21.3,.496,23.4,10.2,16.3,2.2,11.9,7.2,10.90,-2.5,-0.1
Jae Crowder,72,32.4,.613,14.8,7.6,16.1,2.3,17.3,9.9,14.99,156.5,5.2
Nemanja Bjelica,65,18.3,.526,15.2,11.3,16.0,5.5,18.6,12.0,11.00,-8.9,-0.3
Boris Diaw,73,17.6,.494,28.4,14.5,16.0,4.3,9.8,7.1,9.04,-29.8,-1.0
Nerlens Noel,51,20.5,.622,10.9,11.1,16.0,9.8,22.2,15.8,20.40,139.1,4.6
Nik Stauskas,80,27.4,.540,18.5,12.6,15.9,1.1,10.3,5.7,9.05,-47.3,-1.6
Caris LeVert,57,21.7,.556,18.6,10.0,15.9,2.0,13.9,8.0,12.29,33.0,1.1
Timofey Mozgov,54,20.4,.553,9.0,15.1,15.9,9.9,16.4,13.1,12.30,28.0,0.9
Tyler Zeller,51,10.3,.508,17.7,8.4,15.8,9.2,17.0,13.2,13.04,19.1,0.6
Jason Smith,74,14.4,.598,8.3,13.0,15.6,6.8,20.4,13.6,13.61,33.6,1.1
Rudy Gobert,81,33.9,.681,9.0,13.6,15.6,13.6,29.5,21.8,23.31,520.5,17.4
Alexis Ajinca,39,15.0,.529,5.0,13.0,15.6,8.3,23.8,16.0,12.91,20.2,0.7
John Henson,58,19.4,.550,12.3,11.2,15.5,9.7,20.8,15.3,15.35,79.5,2.7
Steven Adams,80,29.9,.589,8.6,14.6,15.5,13.0,15.4,14.2,16.51,210.7,7.0
Nicolas Brussino,54,9.6,.498,21.0,11.6,15.5,5.5,15.9,10.5,10.75,2.0,0.1
Thaddeus Young,74,30.2,.562,13.0,10.1,15.5,6.7,15.7,11.2,14.96,115.7,3.9
Roy Hibbert,48,14.2,.614,9.0,13.7,15.4,8.7,15.9,12.3,13.58,30.3,1.0
Dwight Powell,77,17.3,.588,9.4,6.5,15.4,7.7,19.5,13.3,17.66,122.5,4.1
Ron Baker,52,16.5,.456,26.8,14.0,15.3,1.5,10.8,6.2,7.51,-38.2,-1.3
Joe Harris,52,21.9,.558,11.0,11.2,15.3,1.5,12.0,6.8,9.04,-24.8,-0.8
Troy Williams,30,18.6,.511,10.5,13.4,15.3,3.0,11.2,7.0,9.06,-12.0,-0.4
Alex Abrines,68,15.5,.560,9.2,7.6,15.2,1.9,7.1,4.5,10.11,-6.1,-0.2
Tyus Jones,60,12.9,.523,39.6,9.6,15.2,1.5,8.7,5.0,13.86,33.0,1.1
Jarell Martin,42,13.3,.477,3.8,13.4,15.2,8.4,25.3,16.6,8.74,-23.0,-0.8
KJ McDaniels,49,10.3,.555,5.7,12.7,15.2,3.2,14.1,8.7,11.59,8.2,0.3
Marvin Williams,76,30.2,.551,11.3,6.4,15.2,4.2,19.8,12.0,13.74,76.6,2.6
Denzel Valentine,57,17.1,.492,15.4,12.0,15.1,1.2,15.6,8.3,7.32,-46.4,-1.5
Isaiah Canaan,39,15.2,.483,15.1,8.6,15.1,1.1,8.1,4.6,8.12,-25.5,-0.8
Zaza Pachulia,70,18.1,.588,22.7,15.0,15.0,12.9,22.0,17.7,16.14,104.8,3.5
Davis Bertans,67,12.1,.609,14.1,9.8,15.0,3.2,10.4,6.9,12.94,29.5,1.0
Justin Hamilton,64,18.4,.550,11.0,8.6,15.0,6.5,17.0,11.8,13.61,52.9,1.8
Kris Dunn,78,17.1,.432,30.5,14.4,15.0,2.1,12.6,7.3,8.13,-57.0,-1.9
Domantas Sabonis,81,20.1,.469,12.1,12.3,15.0,3.1,16.5,9.8,6.93,-111.4,-3.7
Meyers Leonard,74,16.5,.507,14.2,7.0,14.8,2.4,19.1,10.8,8.96,-46.3,-1.5
Tarik Black,67,16.3,.562,8.9,13.2,14.8,13.8,20.7,17.1,15.09,73.2,2.4
Vince Carter,73,24.7,.542,18.4,6.9,14.7,2.2,12.5,7.2,11.69,31.9,1.1
DeMarre Carroll,72,26.1,.530,10.1,7.4,14.7,3.8,12.7,8.3,11.88,38.8,1.3
Al-Farouq Aminu,61,29.1,.505,13.8,13.1,14.7,4.8,23.5,14.1,11.31,21.3,0.7
Cody Zeller,62,27.8,.604,14.3,9.4,14.7,8.6,17.3,12.9,16.70,157.1,5.2
Stanley Johnson,77,17.8,.437,18.6,12.6,14.7,2.8,12.7,7.5,7.18,-68.0,-2.3
Patrick Beverley,67,30.7,.546,29.1,10.4,14.6,5.0,15.8,10.4,13.06,63.3,2.1
Mike Muscala,70,17.7,.596,18.4,10.8,14.5,6.9,14.3,10.6,14.43,54.2,1.8
Otto Porter Jr.,80,32.6,.628,11.9,4.3,14.3,5.1,17.1,11.1,17.35,266.3,8.9
Kyle Korver,67,26.2,.635,15.4,9.7,14.3,0.5,11.0,5.8,12.17,43.7,1.5
Spencer Dinwiddie,59,22.6,.581,29.7,10.6,14.3,2.2,10.7,6.5,12.72,34.2,1.1
Courtney Lee,77,31.9,.559,18.0,6.9,14.3,2.3,9.1,5.7,12.20,62.2,2.1
Willie Reed,71,14.5,.578,6.8,8.1,14.3,13.7,22.0,17.8,17.14,86.9,2.9
Sam Dekker,77,18.4,.549,13.2,7.1,14.3,7.2,14.6,10.9,13.09,54.9,1.8
DeAndre Jordan,81,31.7,.673,9.8,11.8,14.3,13.3,34.6,24.2,21.84,431.2,14.4
C.J. Watson,62,16.3,.507,26.0,10.7,14.2,1.7,8.1,4.8,9.30,-25.7,-0.9
Maurice Harkless,77,28.9,.570,10.3,10.1,14.2,6.2,10.8,8.5,13.16,88.2,2.9
Kosta Koufos,71,20.0,.560,8.9,11.6,14.2,9.7,23.0,16.4,13.82,68.2,2.3
Randy Foye,69,18.6,.506,23.8,14.1,14.2,0.8,11.9,6.4,7.33,-60.8,-2.0
Joe Ingles,82,24.0,.604,27.7,13.2,14.2,1.4,13.6,7.6,12.44,57.1,1.9
Garrett Temple,65,26.6,.545,23.6,11.0,14.1,2.2,10.1,6.2,11.19,17.8,0.6
Jose Calderon,41,13.1,.506,32.8,15.3,14.1,3.0,12.1,7.5,8.94,-16.6,-0.6
Allen Crabbe,79,28.5,.602,11.0,7.2,14.1,0.9,10.2,5.6,11.64,38.4,1.3
Marcin Gortat,82,31.2,.593,12.3,12.1,14.0,10.6,26.8,18.7,15.48,186.1,6.2
Paul Zipser,44,19.2,.503,11.4,12.7,13.9,1.9,14.2,8.0,6.99,-44.2,-1.5
Juancho Hernangomez,62,13.6,.592,9.1,9.8,13.9,5.7,18.7,12.3,13.41,24.0,0.8
JR Smith,41,29.0,.484,13.8,5.8,13.8,1.6,8.6,5.2,8.11,-42.4,-1.4
Mike Dunleavy,53,15.9,.573,15.7,8.8,13.8,2.4,12.5,7.6,10.11,-4.9,-0.2
JaMychal Green,77,27.3,.602,11.2,12.5,13.8,8.8,21.1,14.8,13.56,64.4,2.1
Jared Dudley,64,21.3,.579,21.3,12.8,13.8,2.4,15.9,9.0,10.58,1.6,0.1
Dragan Bender,43,13.3,.440,10.4,14.5,13.7,4.2,15.6,9.7,5.32,-53.0,-1.8
Michael Kidd-Gilchrist,81,29.0,.528,13.1,6.4,13.7,7.3,19.3,13.2,14.30,133.1,4.4
Gorgui Dieng,82,32.4,.555,15.8,10.7,13.7,8.1,20.5,14.2,14.19,106.4,3.5
Luol Deng,56,26.5,.470,13.0,7.6,13.7,4.5,17.7,10.8,10.13,-8.2,-0.3
Trevor Ariza,80,34.7,.548,15.9,6.6,13.7,2.1,15.9,9.0,12.38,77.9,2.6
Arron Afflalo,61,25.9,.559,13.4,7.2,13.6,0.7,8.4,4.6,9.02,-35.0,-1.2
Kelly Oubre Jr.,79,20.3,.516,8.1,8.6,13.6,4.3,14.0,9.2,9.10,-33.6,-1.1
Derrick Williams,50,16.1,.537,8.3,8.3,13.4,2.6,15.1,8.9,10.72,-9.3,-0.3
Aron Baynes,75,15.5,.570,8.0,12.4,13.3,10.0,21.6,15.6,13.11,43.5,1.5
Iman Shumpert,76,25.5,.536,15.2,10.9,13.3,2.3,9.9,6.2,9.06,-41.5,-1.4
Amir Johnson,80,20.1,.628,22.2,12.2,13.3,8.3,17.0,12.7,15.03,84.7,2.8
Ian Mahinmi,31,17.9,.601,9.6,17.3,13.2,9.6,20.8,15.2,14.15,29.4,1.0
Danny Green,68,26.6,.537,18.7,11.5,13.2,2.0,11.8,7.0,10.16,-9.1,-0.3
Larry Nance Jr.,63,22.9,.567,17.5,10.2,13.2,8.8,19.6,14.0,15.76,91.7,3.1
Matt Barnes,74,24.0,.514,24.0,13.1,13.1,4.6,19.7,12.3,10.36,-3.8,-0.1
Semaj Christon,64,15.2,.387,31.7,10.5,13.0,2.2,7.9,5.0,5.72,-76.7,-2.6
Joakim Noah,46,22.1,.491,25.9,14.6,13.0,17.1,25.7,21.4,15.25,70.5,2.3
Shaun Livingston,76,17.7,.568,25.6,11.4,12.9,2.4,9.4,6.2,10.10,-18.0,-0.6
Thabo Sefolosha,62,25.7,.519,18.0,9.8,12.9,3.8,14.7,9.3,11.92,33.9,1.1
