Name,Pos,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Josh McRoberts,PF,78,78.0,30.3,8.5,1.1,3.7,4.8,4.3,0.7,0.6,1.1,2.4,4.0,13.82,3.2,7.3,43.6,1.3,3.7,36.1,0.8,1.1,72.9,1.8,3.5,51.6,1.168,0.53
Jeffery Taylor,SF,26,8.0,24.2,8.0,0.6,1.7,2.3,0.8,0.5,0.2,1.0,2.4,0.9,5.97,3.2,8.4,37.6,0.7,2.6,26.9,1.0,1.8,55.3,2.5,5.8,42.4,0.9540000000000001,0.42
Michael Kidd-Gilchrist,F,62,62.0,24.2,7.2,1.8,3.5,5.2,0.8,0.7,0.6,1.0,2.3,0.9,12.07,2.7,5.7,47.3,0.0,0.1,11.1,1.8,3.0,61.4,2.7,5.5,48.3,1.2690000000000001,0.47
Chris Douglas-Roberts,SG,49,8.0,20.7,6.9,0.3,2.1,2.4,1.0,0.6,0.3,0.7,1.2,1.4,12.19,2.3,5.1,44.0,1.0,2.7,38.6,1.3,1.7,80.5,1.2,2.4,50.0,1.345,0.54
Anthony Tolliver,F,64,9.0,20.3,6.1,0.5,2.1,2.6,0.7,0.3,0.2,0.4,1.3,1.8,11.01,2.0,4.8,42.0,1.6,3.9,41.3,0.5,0.6,80.5,0.4,0.9,45.0,1.28,0.59
Cody Zeller,PF,82,3.0,17.3,6.0,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,1.1,13.12,2.1,4.9,42.6,0.0,0.0,0.0,1.8,2.4,73.0,2.1,4.9,42.7,1.213,0.43
Ben Gordon,SG,19,0.0,14.7,5.2,0.2,1.3,1.4,1.1,0.5,0.1,1.1,0.9,1.0,6.48,1.9,5.7,34.3,0.4,1.5,27.6,0.9,1.1,81.0,1.5,4.2,36.7,0.917,0.38
Jannero Pargo,PG,29,0.0,8.3,4.7,0.0,0.7,0.7,1.8,0.5,0.0,0.9,0.6,2.0,19.0,1.8,4.1,44.1,0.8,2.1,40.0,0.3,0.4,72.7,1.0,2.0,48.3,1.153,0.54
Luke Ridnour,PG,25,2.0,15.1,4.0,0.3,1.1,1.4,2.2,0.4,0.2,0.8,1.5,2.7,8.68,1.7,4.3,38.9,0.5,1.6,30.0,0.2,0.3,57.1,1.2,2.7,44.1,0.9259999999999999,0.44
Bismack Biyombo,C,77,9.0,13.9,2.9,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,0.2,13.33,1.1,1.9,61.1,0.0,0.0,0.0,0.6,1.2,51.7,1.1,1.9,61.1,1.5419999999999998,0.61
Jeff Adrien,SF,25,0.0,10.2,2.3,1.3,2.2,3.5,0.3,0.3,0.6,0.3,1.4,0.9,14.92,0.9,1.6,55.0,0.0,0.0,0.0,0.5,1.0,52.0,0.9,1.6,55.0,1.425,0.55
D.J. White,PF,2,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,2.39,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Justin Hamilton,C,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
